id,label,degree,community,followersCount,klout_score,pageranks,eigencentrality,x,y,z
526,asdhyatgsfhuho1,6,9,15.0,38.0,0.000163376872339,0.0,382.879974,-146.89801,-579.891541
529,SweetFreedom29,9,1,20590.0,0.0,0.000251646110541,0.0135593887179,-194.646286,645.789307,112.50032
531,usfortrump,14,3,1111.0,48.0,0.000256395660511,0.336784613159,308.624603,-71.278351,-204.701309
532,PatriotBrother,8,1,12344.0,67.0,0.000231202363891,0.47718076216,-130.089432,730.994385,-157.880447
534,BikinInMaine,8,1,0.0,0.0,0.000163376872339,0.0,-158.307037,820.247925,23.446608
535,RESJR_2016,13,1,175.0,43.0,0.000353079154008,0.225389640467,-173.754135,812.345276,14.286246
540,jflo_1976,4,1,104.0,50.0,0.000206131844205,0.0104579289183,-329.573303,988.499023,144.674057
541,YourPotus,6,0,0.0,0.0,0.000163376872339,0.0,535.894043,-61.274075,-232.407059
544,JosephMRyan1,13,1,16404.0,56.0,0.000163376872339,0.0,-160.15184,755.079834,-86.620598
545,dej388,8,1,1777.0,46.0,0.000273568610839,0.165382216592,-196.631485,695.11853,-146.883148
547,AVoiceForUSA,29,3,870.0,53.0,0.000178806980936,0.0022679712307,559.741882,-121.6698,-137.184143
548,RandyBohlke,3,3,1197.0,49.0,0.000179409325335,0.0347386664487,531.580566,-53.355896,-112.460716
549,RightWingArt,6,9,110122.0,63.0,0.000163376872339,0.0,-40.888912,533.281616,-176.33931
553,immigrant4trump,121,0,7751.0,64.0,0.000167794421215,0.157402548715,63.419327,-175.61348,-305.398315
557,10thAmendment,12,0,26729.0,58.0,0.000275599137542,0.0721481641986,112.47393,77.263634,-201.977554
558,BarbaraChartie1,9,0,448.0,51.0,0.000217617133096,0.150206626931,74.997719,-23.859758,-306.413849
559,beverly_crider,6,1,1707.0,49.0,0.000415745872984,0.105596775943,-309.735321,984.383057,-18.015512
561,whatzzhername,8,3,1905.0,54.0,0.000629852525375,0.0911439514723,220.223267,-16.658844,46.234039
563,BernRevolution,3,7,75.0,42.0,0.000177906249954,0.00592198645685,-1131.615356,-184.894531,1389.672119
565,IL9CD4Bernie,4,7,1709.0,58.0,0.000278876752989,0.047767349472,-1018.102234,-257.898651,1405.451538
566,Coalition4Trump,4,3,1549.0,52.0,0.000209667198131,0.0022679712307,606.401978,-30.445114,88.781174
568,Bernie11901,9,7,62.0,18.0,0.000335037675411,0.0507520253947,-1119.577637,-229.034714,1386.301025
570,wyoming4trump,11,0,669.0,46.0,0.000508503865298,0.282556669507,331.649139,-343.707031,44.72113
571,LIBERTYPRTY,6,1,472.0,48.0,0.000314794469017,0.10356629643,-249.927353,1191.704956,-2.097666
