id,label,degree,community,followersCount,klout_score,pageranks,eigencentrality,x,y,z
17890,redskinsrock91,5,4,905.0,45.0,0.000429077623587,0.0549770796504,-384.179138,757.294128,1023.100952
17897,mothergooseAZ,3,1,1109.0,46.0,0.000298089548748,0.21160806551,1214.459839,-151.814453,-548.249451
17914,for_bernie,3,3,178.0,34.0,0.000232312093035,0.00991541407815,-508.612427,23.236393,-735.329102
17925,patriciakearle2,3,5,1090.0,52.0,0.000353437188273,0.0511256764982,-262.052521,110.162834,1231.940308
17938,rtpburns,3,3,1156.0,44.0,0.000451781865413,0.0490848286446,-558.227051,109.714813,80.79303
17955,MarcoCoalition,3,8,897.0,46.0,0.000252041993031,0.014167241972,-158.809464,811.131836,544.25946
18009,RadicalRW,3,4,3191.0,60.0,0.000316675447829,0.00460269062912,-207.98439,488.650696,1286.699097
18088,rmom65,4,8,209.0,47.0,0.000284379815301,0.0207124204818,-150.049118,664.857971,620.591675
18098,Hillary_HQ,4,1,0.0,0.0,0.000217895593822,0.0,1254.138916,-258.861328,-437.336304
18118,abowersock,4,3,2406.0,61.0,0.000281051303889,0.00380703438179,-668.450073,-115.350952,-607.209106
18128,BlackWomen4Bern,3,3,0.0,0.0,0.000217895593822,0.0,-487.368103,-412.178131,-481.86795
18129,wonderfullone,5,1,5886.0,61.0,0.000337762941629,0.0563190623628,1051.462036,-100.142021,-683.053467
18135,joavargas_1220,4,3,1662.0,55.0,0.000320203299757,0.00920538125823,-394.175751,-13.162277,-695.551331
18177,PatriotJewel,6,4,7255.0,60.0,0.00041848790866,0.107953383553,-300.176178,798.324951,1103.473511
18211,sage_road,4,5,731.0,53.0,0.000317353996335,0.0293275628057,-202.984055,18.337618,1269.002075
18213,TeamMarco_IL,3,8,654.0,44.0,0.000223062754145,0.00380703438179,-152.661652,855.001343,518.24115
18234,laguna4bernie,3,3,0.0,0.0,0.000217895593822,0.0,-638.428345,23.544748,-809.28772
18235,mobygrapefan,4,3,957.0,44.0,0.000411686655033,0.0326406781674,-713.472534,70.049484,-776.120911
18278,katsella,4,1,0.0,0.0,0.000217895593822,0.0,1200.598389,-179.538467,-712.474609
18305,coton_luver,3,1,3956.0,58.0,0.000233479208864,0.0372965686969,1065.232544,-407.380493,-470.359985
18317,angelathomas22,3,4,679.0,59.0,0.000501432381702,0.0578022985608,-340.518616,821.610474,1102.046753
18350,opticspolitics,6,1,2275.0,57.0,0.000279633002576,0.00230134531456,1289.081909,-204.750351,-656.222046
18370,TheNoxemaGirl,3,3,1171.0,54.0,0.000270813372754,0.00690403594368,-848.354614,-175.953201,-505.488556
18395,NA97816654,3,1,159.0,27.0,0.000422094294035,0.0379802957045,874.302734,-247.911865,-645.59436
18483,SradPineda,6,1,146.0,45.0,0.00105503646995,0.31105923137,1062.694214,-232.087189,-572.202759
18595,BernieCrowds,4,3,24.0,0.0,0.000217895593822,0.0,-689.996399,-288.276489,-915.77887
18621,arizonasanders,4,3,1614.0,58.0,0.000220671174499,0.00531272344903,-393.62323,-86.064499,-567.661682
18631,bjeangreen,5,1,0.0,0.0,0.000217895593822,0.0,1180.204956,-84.973526,-606.03894
18641,J_J_Brantley,3,3,456.0,50.0,0.000264198650388,0.00230134531456,-792.737366,-95.325813,-510.408051
18643,WendyKnox64,3,3,1773.0,57.0,0.00068291636115,0.0306808714925,-691.086853,-209.644165,-741.271118
18690,Oregon4Bernie,3,3,1604.0,52.0,0.000219984557282,0.0116302357602,-595.259094,-350.239258,-599.190857
18761,Tonyher9,3,5,69.0,23.0,0.000226959591918,0.0604536268007,-38.12278,60.787571,1245.578247
18793,jimalle26279141,4,5,581.0,48.0,0.000309679621075,0.0275186933697,-80.658424,-99.619362,1395.2323
18821,JonCarlinShea,4,3,1008.0,43.0,0.000224069334698,0.00230134531456,-737.011353,-370.611786,-670.297058
18841,flitedocnm,6,3,3306.0,55.0,0.000346596503046,0.0290706971244,-444.146454,-82.084473,-641.894897
18881,NEforBernie2016,3,3,0.0,0.0,0.000217895593822,0.0,-675.034363,-332.570618,-649.882751
18972,len_volkel,4,5,664.0,49.0,0.000271520625151,0.0526619357769,-116.943565,-65.116936,1158.935181
18982,suze109,3,8,4071.0,57.0,0.000346537571653,0.00840972501091,-203.090424,877.510925,584.69397
18989,grandpooba5440,3,5,203.0,45.0,0.000338127025576,0.0292959416214,-148.608688,459.868561,837.075806
