source,target,weight
254,183,2.000000
29,926,2.000000
927,928,2.000000
373,930,2.000000
335,931,2.000000
186,61,2.000000
932,933,2.000000
934,935,2.000000
936,937,2.000000
25,465,2.000000
199,424,2.000000
283,940,2.000000
474,941,2.000000
122,942,2.000000
37,473,2.000000
32,943,2.000000
32,945,2.000000
29,946,2.000000
948,457,2.000000
46,950,2.000000
199,954,2.000000
29,955,2.000000
331,956,2.000000
960,638,2.000000
0,961,2.000000
965,966,2.000000
72,638,2.000000
969,970,2.000000
971,972,2.000000
96,973,2.000000
29,162,2.000000
4,977,2.000000
979,570,2.000000
680,980,2.000000
474,983,2.000000
984,265,2.000000
32,987,2.000000
88,183,2.000000
474,383,2.000000
96,988,2.000000
25,995,2.000000
32,996,2.000000
188,306,2.000000
72,997,2.000000
372,371,2.000000
248,717,2.000000
0,1002,2.000000
32,525,2.000000
1005,473,2.000000
96,1006,2.000000
337,1008,2.000000
1009,1010,2.000000
186,525,2.000000
32,55,2.000000
32,1011,2.000000
4,1013,2.000000
1014,1015,2.000000
893,1016,2.000000
199,1017,2.000000
800,1018,2.000000
934,1019,2.000000
170,1020,2.000000
21,1021,2.000000
659,1022,2.000000
1026,1027,2.000000
199,1028,2.000000
0,1031,2.000000
1035,1036,2.000000
1037,919,2.000000
1038,638,2.000000
1039,86,2.000000
4,1041,2.000000
876,1046,2.000000
92,1047,2.000000
1048,1049,2.000000
213,878,2.000000
285,1052,2.000000
283,341,2.000000
1055,1056,2.000000
29,1057,2.000000
655,1059,2.000000
4,484,2.000000
139,1066,2.000000
1067,1068,2.000000
1069,81,2.000000
0,1074,2.000000
1075,1076,2.000000
20,1081,2.000000
637,1084,2.000000
1086,1087,2.000000
577,1088,2.000000
36,218,2.000000
21,1091,2.000000
46,1092,2.000000
236,1095,2.000000
960,338,2.000000
1096,1097,2.000000
1098,1099,2.000000
4,458,2.000000
494,101,2.000000
1035,259,2.000000
170,117,2.000000
25,1103,2.000000
25,1104,2.000000
170,1105,2.000000
473,119,2.000000
199,877,2.000000
932,1106,2.000000
337,1107,2.000000
343,1113,2.000000
1116,465,2.000000
1118,1119,2.000000
1121,1122,2.000000
1123,1124,2.000000
1127,183,2.000000
0,1135,2.000000
170,1136,2.000000
494,1137,2.000000
92,1138,2.000000
29,1139,2.000000
335,1143,2.000000
4,265,2.000000
744,181,2.000000
199,1144,2.000000
1146,183,2.000000
1147,1148,2.000000
6,1149,2.000000
1152,1153,2.000000
0,1156,2.000000
724,1157,2.000000
1005,1158,2.000000
871,1079,2.000000
200,1157,2.000000
46,1160,2.000000
1161,1162,2.000000
91,1163,2.000000
139,457,2.000000
29,1165,2.000000
595,1166,2.000000
1167,1168,2.000000
592,1170,2.000000
29,6,2.000000
1174,1175,2.000000
1176,1177,2.000000
343,236,2.000000
258,449,2.000000
1179,1180,2.000000
491,1181,2.000000
1182,1028,2.000000
258,450,2.000000
32,1186,2.000000
122,1188,2.000000
4,596,2.000000
29,1192,2.000000
883,1195,2.000000
1201,1202,2.000000
174,1203,2.000000
283,1206,2.000000
883,1207,2.000000
170,1211,2.000000
1035,1212,2.000000
29,210,2.000000
371,498,2.000000
4,1221,2.000000
1224,1225,2.000000
971,1226,2.000000
46,669,2.000000
878,1227,2.000000
199,1230,2.000000
96,1235,2.000000
170,1239,2.000000
1242,1243,2.000000
91,1244,2.000000
128,1245,2.000000
1167,140,2.000000
1251,1252,2.000000
46,1254,2.000000
323,1255,2.000000
4,1256,2.000000
323,1260,2.000000
170,1261,2.000000
4,1263,2.000000
1266,1267,2.000000
0,1270,2.000000
1271,47,2.000000
1272,106,2.000000
72,1279,2.000000
78,1281,2.000000
32,1282,2.000000
