Source,Target,weight
IL9CD4Bernie,hardwork_010,3.0
alexandraheuser,summer0655,3.0
azblonde2015,usfortrump,3.0
Libertea2012,GlendaLenderman,3.0
People4Bernie,JamesSheaiv,3.0
Iowa4Bernie,Campaign4Bernie,3.0
jenny_nalley,BernRevolution,3.0
azblonde2015,SoniaO529,3.0
asdasytfhjyhot1,YugeJets,3.0
frairemalissia1,YugeTrumpnado,3.0
BernieSanders,Bernie_Quotes,3.0
DanScavino,allybrooke27,3.0
Bernlennials,JSithavady,3.0
DanScavino,maryjones1417,3.0
Jessispaul53S,YugeTrumpnado,3.0
People4Bernie,tates5a,3.0
BernieSanders,Ae4Bernie,3.0
_HankRearden,masspolitica,3.0
patriotmom61,ParisGirl3,3.0
SMolloyDVM,PatriotBrother,3.0
GRForSanders,leoluminary,3.0
Bernie_Facts,Arphahat,3.0
ND4Bernie,OnlyTruthReign,3.0
IngrahamAngle,Ricky_Vaughn99,3.0
BernieSanders,TeacherWarrior,3.0
dollyp724,ljreynolds13,3.0
BernieTweet2016,unetomaterouge,3.0
People4Bernie,wolfeprowler1,3.0
BernieSanders,enzerukristin,3.0
ireneberns,JonBanquer,3.0
Libertea2012,pollyantics,3.0
LindaSuhler,jjadamsny888,3.0
AidanKing_,Ziga_Iglic,3.0
LivingOnChi,Bernie45thPOTUS,3.0
WayneEdH,JanetMenke,3.0
BernieSanders,BernieBrigade,3.0
Bernie_Facts,mierdakansada,3.0
BernieSanders,Ac2zoom,3.0
amrightnow,49f8f38790164c4,3.0
BernieSanders,NickDMoody,3.0
RockMetalKittyX,suzost,3.0
jenny_nalley,KAIJUKING23,3.0
WayneDupreeShow,winegirl73,3.0
Ricky_Vaughn99,merenguetontos,3.0
Vets4Santorum,italydreamer15,3.0
Women4Bernie,Illinois4Bernie,3.0
IL9CD4Bernie,joseph_carangi,3.0
AidanKing_,laughingcat2016,3.0
azblonde2015,Meli6402,3.0
WI4Bernie,markpintoart,3.0
BernieSanders,j_lajara,3.0
iowacruzgirl,CruzinAhead,3.0
amrightnow,4AmericaToday,3.0
patriotmom61,summer0655,3.0
GovMikeHuckabee,MatthewTwihard,3.0
People4Bernie,SeanPolit,3.0
GeeSungee,burberryant,3.0
JaredWyand,steph93065,3.0
LindaSuhler,ChristiChat,3.0
DanScavino,nepafortrump,3.0
Iowa4Bernie,captainjackgirl,3.0
LindaSuhler,grannycoo,3.0
RoseAnnDeMoro,donald_nielsen,3.0
Libertea2012,mjc5549,3.0
iowacruzgirl,fitethegoodfite,3.0
DanScavino,twojjrs,3.0
People4Bernie,Dispersi0n,3.0
ernieHHI,Big_Ahlers,3.0
AidanKing_,BlkGirls4Bernie,3.0
slone,BPPope,3.0
Iowa4Bernie,Denis_Varty2,3.0
HouseCracka,lwest16,3.0
FoxNews,olotupaul2,3.0
Bernie_Facts,RMGarman,3.0
TeenForBernie,rafie281,2.0
Norsu2,kits54,2.0
People4Bernie,markpintoart,2.0
QuinnDaGhost,BlkGirls4Bernie,2.0
DefendingtheUSA,1776tamara,2.0
ChristiChat,LindaSuhler,2.0
Latinos4Bernie,pans44,2.0
Iowa4Bernie,Greeenguy111,2.0
BernieSanders,SherryNothingam,2.0
Ricky_Vaughn99,StewartDorinda,2.0
JesusForBernie,rafie281,2.0
AidanKing_,RosanderJohan,2.0
Esther_Jang_,BeccaKeating1,2.0
JaredWyand,Justified_Not,2.0
People4Bernie,brokencarpenter,2.0
DanScavino,realbigstriper,2.0
GlennHeiser,DefTonegirl,2.0
jphilman0206,ChgocadChic,2.0
BernieSanders,OldsterLady,2.0
BernieSanders,MicMej231997,2.0
BernieSanders,CL4R4GU3RR4,2.0
BernieSanders,JoeMon49,2.0
BernieSanders,PParzival,2.0
Women4Bernie,cerah_hedrick,2.0
eelawl1966,HowitzerDoogie,2.0
azblonde2015,railgirl1952,2.0
WorldForBernie,Sir_Thorne,2.0
Republikim1,TexasSheBandit,2.0
VoteHillary2016,punjabimodern1,2.0
k_devi,darshiido22,2.0
BernieSanders,trendingsohard,2.0
peterdaou,ralphb47,2.0
BernieSanders,alenaforbernie,2.0
DanScavino,concerningtimes,2.0
VoteHillary2016,wrldstrndupside,2.0
Iowa4Bernie,jamesmarie33,2.0
GRForSanders,VVeljkovich,2.0
BernieSanders,PositivelyCanDo,2.0
YoBenCohen,densievachez,2.0
DanScavino,WavRidr101,2.0
Libertea2012,MalyndaNyc,2.0
Libertea2012,snowsurfvt,2.0
Bernlennials,memona_cogitare,2.0
DefendingtheUSA,Biondabella,2.0
trumpology,4AmericaToday,2.0
BernieSanders,FuentesBeatrice,2.0
NancyWonderful,mrbabypants,2.0
realDonaldTrump,jmdonsi,2.0
Libertea2012,rafie281,2.0
Emmme30,SarahLeeAnne,2.0
BernieSanders,mariovillafuer4,2.0
P0TUSTrump,aliwojo19,2.0
ashydtasyjfhho1,YugeTrumpnado,2.0
shupe_laura,adlangston75,2.0
ernieHHI,bworrall2,2.0
People4Bernie,BerniesBros,2.0
DefiningAmerica,LordWhatAMess,2.0
GRForSanders,GatuvelaK,2.0
jmbse,ElenaNinj,2.0
mann_cmann1008,KSISKProduction,2.0
roytatem,kemba722,2.0
Libertea2012,GatuvelaK,2.0
JaredWyand,merenguetontos,2.0
LivingOnChi,carmic14,2.0
CallawayBOT,KohrAndrew,2.0
People4Bernie,Dragons4Bernie,2.0
DanScavino,O_IrishT,2.0
azblonde2015,RETTinol,2.0
CallawayBOT,bluegrasshaze,2.0
People4Bernie,verda_verde,2.0
botting_world26,YugeTrumpnado,2.0
CitzAbroad4Bern,Iowa4Bernie,2.0
GRForSanders,JonathanPtrck,2.0
azblonde2015,Debramax,2.0
DanScavino,CraazzyKarl,2.0
